,Player,Team,Position,GP,TOI,TOIperGP,Goalsper60,Total Assistsper60,First Assistsper60,Second Assistsper60,Total Pointsper60,IPP,Shotsper60,SHpct,ixGper60,iCFper60,iFFper60,iSCFper60,iHDCFper60,Rush Attemptsper60,Rebounds Createdper60,PIMper60,Total Penaltiesper60,Minorper60,Majorper60,Misconductper60,Penalties Drawnper60,Giveawaysper60,Takeawaysper60,Hitsper60,Hits Takenper60,Shots Blockedper60,Faceoffs Wonper60,Faceoffs Lostper60,Faceoffs pct
424,Anthony Mantha,WSH,R,37,561.25,15.16891892,0.96,1.5,1.18,0.32,2.46,63.89,8.77,10.98,0.84,14.11,11.12,7.91,3.42,0.43,0.86,1.5,0.75,0.75,0,0,0.43,1.39,1.39,4.92,2.99,1.92,0.32,0.11,8.02
465,Marcus Pettersson,PIT,D,72,1127.166667,15.65509259,0.11,0.9,0.59,0.32,1.01,41.3,4.42,2.41,0.2,10.06,7.24,2.18,0.32,0.16,0.48,2.02,1.01,1.01,0,0,0.59,0.75,0.9,6.49,10.01,3.94,0,0,-
495,Sammy Blais,NYR,L,14,188.4166667,13.45833333,0,1.27,0.96,0.32,1.27,50,5.41,0,0.64,10.51,7.96,6.69,2.87,0,0,5.41,2.23,1.91,0.32,0,2.23,1.27,0.64,11.78,7.64,2.55,0.64,0.96,12.74
751,Jack Studnicka,BOS,C,15,189,12.6,0,0.95,0.63,0.32,0.95,100,6.67,0,0.81,11.75,9.52,7.62,2.54,0.32,1.27,1.27,0.63,0.63,0,0,0.32,3.49,0.95,5.4,9.21,1.59,18.41,19.37,15.47
753,MacKenzie Entwistle,CHI,R,55,563.5833333,10.2469697,0.53,0.75,0.43,0.32,1.28,75,3.62,14.71,0.48,5.75,4.9,3.73,2.98,0.21,0.64,2.45,0.64,0.43,0.11,0.11,1.6,1.06,0.96,13.73,7.24,2.34,1.92,2.87,4.26
826,Brady Tkachuk,OTT,L,79,1485.333333,18.80168776,1.21,1.49,1.17,0.32,2.71,63.81,11.63,10.42,1.4,18.62,15.07,12.28,6.95,0.53,1.37,4.73,1.74,1.45,0.2,0.08,1.58,2.75,1.66,10.91,5.17,1.01,8.81,8.77,2.02
3,Jason Spezza,TOR,C,71,762.9666667,10.74600939,0.94,1.02,0.71,0.31,1.97,67.57,7.63,12.37,0.72,13.76,10.3,6.53,2.6,0.63,1.02,2.04,1.02,1.02,0,0,0.47,2.44,2.52,2.44,3.22,1.89,23.99,21.39,4.16
66,Justin Braun,"NYR, PHI",D,69,1348.716667,19.54661836,0.27,0.53,0.22,0.31,0.8,39.13,3.25,8.22,0.1,7.12,4.67,1.38,0.13,0.18,0.49,1.6,0.8,0.8,0,0,0.4,1.42,0.71,3.87,4.05,5.38,0,0,-
124,Jordie Benn,MIN,D,39,584.2,14.97948718,0.1,0.72,0.41,0.31,0.82,26.67,3.8,2.7,0.13,7.91,5.55,1.54,0.1,0.31,0.31,1.03,0.51,0.51,0,0,0,1.54,0.62,5.24,4.72,4.21,0,0,-
191,Derek Forbort,BOS,D,76,1375.966667,18.10482456,0.17,0.44,0.13,0.31,0.61,27.45,2.79,6.25,0.09,5.76,3.92,1.09,0.17,0.22,0.22,2.09,0.74,0.61,0.09,0.04,0.61,1.4,0.65,5.8,5.89,4.36,0,0,-
199,Jeff Skinner,BUF,L,80,1366.15,17.076875,1.45,1.32,1.01,0.31,2.77,67.02,11.51,12.6,1.28,17.74,14.49,11.99,6.41,0.48,1.1,1.84,0.75,0.7,0,0.04,1.1,2.28,2.24,1.27,2.9,0.88,4,5.84,1.78
289,Yanni Gourde,SEA,C,74,1367.6,18.48108108,0.92,1.18,0.88,0.31,2.11,72.73,5.62,16.41,0.64,10.79,8.16,5.97,2.98,0.44,0.48,1.97,0.79,0.66,0.13,0,0.97,1.67,2.37,3.38,4.3,1.36,19.48,19.87,2.17
370,Connor Clifton,BOS,D,60,962.5666667,16.04277778,0.12,0.5,0.19,0.31,0.62,28.57,4.99,2.5,0.17,9.23,6.67,1.99,0.19,0.12,0.44,1.99,0.81,0.69,0.12,0,0.75,0.87,1,9.72,10.1,3.86,0,0,-
387,Ryan Graves,N.J,D,75,1554.15,20.722,0.23,0.85,0.54,0.31,1.08,38.89,4.29,5.41,0.21,9.3,6.25,3.32,0.89,0.93,0.73,0.93,0.46,0.46,0,0,0.66,1.97,1.04,3.47,4.32,5.21,0,0,-
483,Danton Heinen,PIT,L,76,966.3333333,12.71491228,1.12,0.93,0.62,0.31,2.05,66,8.57,13.04,0.94,13.47,11.36,9.93,3.91,0.43,0.93,0.99,0.5,0.5,0,0,0.5,1.49,2.24,4.1,5.4,2.05,0,0.25,0
532,Keegan Kolesar,VGK,R,77,975.0666667,12.66320346,0.43,1.05,0.74,0.31,1.48,63.16,5.78,7.45,0.72,8.74,7.2,5.91,3.63,0.31,0.92,4.18,1.35,0.86,0.49,0,1.35,2.22,2.03,15.14,9.72,2.83,4.68,6.89,2.49
